tid	pid	seq_id	year	month	day	time	uid	text	signature	edit_uid	edit_year	edit_month	edit_day	edit_time
4	58	32	2014	1	14	04:02:09	9	<p>I have been in talks with Verto almost everyday and can verify this is all legit and his pgp key. Anybody who is still in doubt can Also verify me by pgp if they have it.</p><p>-----BEGIN PGP PUBLIC KEY BLOCK-----<br />Version: GnuPG/MacGPG2 v2.0.19 (Darwin)<br />Comment: GPGTools - http://gpgtools.org</p><p>mQENBFGMlhsBCAC7+EQFbed/aLT/8de01EcJ6GaYlvEaNBMG5VsaXMgYs/6GXbno<br />YbKH0ihWpoA99H8Oysd8J9KCe0jOiYv28JI27UkmwgzhI8DP8NLM9EcvI01RBrYb<br />k/4HGZTEetPpOwHUE064jd5p2V/Gf+ac276guyiGbtGd1PBGcj5v/jrj26DvNQe2<br />2LD7nQKhsCTPbMHYoQMQNb4khWCn/U02kstJwNkV/AKwtDTBMHMizqh4FSWM/ycS<br />5CPuTeFcj92UftxhL5qtIwtZ63SnIV/o7qqT3yDF2k6VstVrkNRJrDsRluWbO57B<br />EoS0yinnrT1POnIgg1EqstTduP80TGRhVI+bABEBAAG0JmdyZWVuZGFkeTg4OCA8<br />Y2hlYXByeHBoYXJtYUBnbWFpbC5jb20+iQE9BBMBCgAnBQJRjJYbAhsvBQkHhh+A<br />BQsJCAcDBRUKCQgLBRYCAwEAAh4BAheAAAoJEB28mL7fwORuopUH/iYWMahTTG0W<br />0oUZOmAGAsxK5M1OyPjWtNJnZeRECWVDSfLY6O2oSyVpFwtnS4NCg5qCtlxOyG6+<br />Bd/QGW+TL2j0w6muZnJMQNxJKQ0wPmKyeyY8Gp8YIATW/kgRaqySy6FgEA45NDbC<br />90UkzjxidZU+9rABWgyAWRw9WzDVbmuJ6bsjKsgCcAx5ANRPXSZnwRWUYC1fBkLm<br />RnyhzFl0YmsqDNNn4KLTWfmmkEeDT1QUhKbzdtT4yw0+HrAnNlR28ucxLmbtVvxn<br />h0vdB7shD5VBXIpQYxxClvjetbOm3J8zwIiA0XKUW1SpwMzhhfCrbStiGMPEBzOm<br />0F5zUtY1DGC5AQ0EUYyWGwEIAOiulL616ChIzrEYRSzxP7oh+4V1rRl7BTqCyW0d<br />3RE0FHkIrPh9PkQw1bMSM2RFbuKlXO2QM9ANNz6O8RXMgfY1QrxQ9ff1NH/p5ipL<br />H9t91KqmVlF7YaQGZOlAAheLJHHQ5LVmOOqavL13btfXiPux87SiOgtwdtCSggKg<br />rNyFeOsVr9bzuNyS9dyjV6YWx3exSf/IBxCRiHS8jVnCYalUfz+WBf2wYW3uea/+<br />wH59lEpOjuPdQ3TW4EfFtQhbnUvg+JT92B7nqf5BAG7E4q78rlPbayUSDpaYp4zs<br />AIDcOFAywGntikezjK3OQiR9QcmZZm0qT0bLDtXxipaKFeUAEQEAAYkCRAQYAQoA<br />DwUCUYyWGwIbLgUJB4YfgAEpCRAdvJi+38DkbsBdIAQZAQoABgUCUYyWGwAKCRBl<br />tAhCP867ZGkLB/9XBCy6QoFga/LJMI64cnmowOqZukx+JWgwpJ+EPcqvl2y91GAm<br />iO6doht5PY0JBLKiap89fYIxljE2GXwYxHr6EXfP4yJJFVBvgw0SeVbvcipMqeMK<br />8Df6brtJ6ypLvzaSLl55ofjqRnyRJti9p+lvkNo19DYBq20YKdSjZNiG5fACA9z2<br />SLyUfnJe6zpb8R55Bd53/owmu2zv4J+dzaokn/dKo8com63cmXy/G8zqtiCz3msD<br />5ZY3zgf7KE1IzHlPxMde4apgulkvwFCs+CRaGYt95whNuWFY0xeiebzIr/+qnYoa<br />aIbnzf85g5dsqmUjlg4p7+nzb+1lvftL2DqU/cQH/2s2XuJ6/p/mN+ya3tkfYsed<br />WN4INjx5dHqIAs0PpwkCNyQHygcWnsiPs6ukMbZfVjizFVMIZFV5+3mOJancjs4H<br />HJ350XIKWHp18ONV2+PYzihIYk41Vcyvtz4gEDMwtXFlGMzFMJNzcNd69KzP0aia<br />857R169GfiZ5hNdk3eqZWVw/LLMFiRVhAv73tlD+Ob2KSKYIxOsRgb5fUiBKHTJw<br />+zoVD7Zp0+Up7WlLMGwIAazCZ7iPPlPa+YyumOaRCYeNHjYbgXBnawX9grVd1Hjp<br />HKs/GOho/bKYT9DUobB0lIySVKqwL1qrcpgJqidWRR9X/uhHlr1NZvZxi/itzew=<br />=TK+p<br />-----END PGP PUBLIC KEY BLOCK-----</p>	<p>pgp: http://pastebin.com/WGUYR1zf</p>	9	2014	1	14	04:02:43
4	60	33	2014	1	14	04:14:17	24	<p>Okay, that clears it up. Thanks for all of your hard work guys.</p>	<p>Pārzināšana ir viss.</p>					
4	77	34	2014	1	14	04:52:21	44	<p>Well then, good to be here guys.</p>	<p><strong>themostseekrit</strong> — این نیز بگذرد — contact details upon request<br /><em>But I see nothing, no eyes... no eyes on me.</em></p>					
4	85	35	2014	1	14	05:02:30	46	<p>Thank you for creating this.</p>	<p>Fraud consulting, partnership available. <br />ICQ: 695658844</p>					
4	89	36	2014	1	14	05:08:01	47	<p>welcome back Verto!</p>	<p>PGP Public Key http://pastebin.com/uV2ck7Md<br />Torchat: 6o5ksfhaolubgvcf</p>					
4	102	37	2014	1	14	05:32:48	12	"<div class=""quotebox""><cite>kraken wrote:</cite><blockquote><div><p>welcome back Verto!</p></div></blockquote></div><p>lol another guy welcoming Verto to his own forum.</p><p>D33, went back to the old alien uh.. I was starting to like those creepy eyes.</p>"	<p><strong> PGP Public Key </strong>: http://pastebin.com/25uQV7ZJ</p>	12	2014	1	14	05:33:20
4	106	38	2014	1	14	05:35:04	53	<p>Welcome back verto and d33p.<br />Evolution looks nice..the name&#039;s kinda refer to &#039;Doesn&#039;t matter how many times you shoot us down but we&#039;ll keep coming back we&#039;ll be evolving&#039; :)</p>	<p>PGP Key: http://pastebin.com/uASrUi1k</p>					
4	124	39	2014	1	14	06:29:50	64	<p>Thank you for your work Verto and team</p></div></div></div></div>						
4	130	40	2014	1	14	06:45:20	68	<p>Oh! what a relief! feels good to be in here among my peeps again :) Thanks Verto for the great effort to keep us all together.</p>	<p>Never give up!</p>					
4	133	41	2014	1	14	06:53:00	70	<p>OHHHHHHH!! YEs thank god!!!</p><p>Thank you Verto! am really happy to see you all guys here! this is much much better than the Deepweb...</p><p>BTW the new Evolution Marketplace is awesome! thank you for making this happen, keep it up :D</p>	<p>True genius resides in the capacity for evaluation of uncertain, hazardous, and conflicting information. -Winston Churchill</p>					
4	151	42	2014	1	14	07:40:41	76	<p>Hi everybody! After weeks of reading and learning on TCF and just when I was about to get into action, TCF disappeared. Glad we have now two forums. Kind of redundancy, eh?</p></div></div></div></div>						
4	156	43	2014	1	14	07:59:15	81	<p>Thank you Verto for bringing back TCF! With a bunch of upgrades if I may say. Impressive :)</p>	"<p><strong><span style=""color: #7D0541"">Evolution&#039;s PR Rep.</span> <span style=""color: #E41B17"">Boogie</span> Contact Information: <ins>BoogieEvoPR@lelantos.org</ins></strong> <br /><strong><span class=""bbu"">PGP key:</span> <span style=""color: #C11B17"">http://pastebin.com/jw0Z4usm</span></strong></p>"					
4	170	44	2014	1	14	09:50:11	92	<p>New marketplace looks so much more professional..<br />Awesome work!!! Glad to be back:)</p></div></div></div></div>						
4	171	45	2014	1	14	09:53:38	91	"<div class=""quotebox""><cite>TheDearthStar wrote:</cite><blockquote><div><div class=""quotebox""><cite>Kimble wrote:</cite><blockquote><div><div class=""quotebox""><cite>Bluekilo wrote:</cite><blockquote><div><p>Interesting, although I have a strange feeling about this. Something doesn&#039;t seem right here. What if the individual responsible for the TCF intrusion set this site up as well to phish information?</p></div></blockquote></div><p>An official announcement has been posted on the TCF website for those in doubt. (You know the address ;))</p></div></blockquote></div><p>To play devil&#039;s advocate: Since whatever website was originally at that URL was compromised and since the announcement isn&#039;t PGP signed with a known trusted key or anything, it&#039;s hardly a definitive showing that the person who originally compromised the site isn&#039;t the same person running this.</p></div></blockquote></div><p>The WEBSITE wasn&#039;t compromised, the attacker doesn&#039;t have FTP or MySQL access etc. They used an exploit in PhPBB to hijack user&#039;s login sessions, from there they could do as they please with the account. So if they logged into Verto&#039;s session, they probably had access to the PhPBB admin panel, where all they could do was edit site settings or users.</p></div></div></div></div>"						
4	172	46	2014	1	14	10:24:48	94	"<div class=""quotebox""><cite>torrican wrote:</cite><blockquote><div><p>Hi everybody! After weeks of reading and learning on TCF and just when I was about to get into action, TCF disappeared. Glad we have now two forums. Kind of redundancy, eh?</p></div></blockquote></div><p>Just wanted to post something like this. I have been lurking around TCF for 2 months and when i saw vertos message criminal part of me died...</p></div></div></div></div>"						
4	173	47	2014	1	14	10:32:15	97	<p>What great work you did mr. Verto and your team!<br />Thanks</p></div></div></div></div>						
4	174	48	2014	1	14	10:39:07	98	<p>YEAAHH&#160; nice to see you all again<br />D33poutside!!!!!!!!!!!<br />alien is back!!!&#160; love it!</p>	<p>i got 5 on it</p>					
4	175	49	2014	1	14	10:44:01	98	<p>Verto+crew=king</p>	<p>i got 5 on it</p>					
4	176	50	2014	1	14	10:46:11	99	<p>Well it&#039;s good that it come back, now I just need to get back the money set on escrow :)</p><p>Therefore... we have a silkroad-eske market type now? This forum won&#039;t be used anymore for market reviews?</p><p>Is there some way to know who&#039;s a &#039;verified&#039; user? Is there a escrow set up on that market?</p><p>It&#039;s just so nice that this is back and going!</p></div></div></div></div>						
4	178	51	2014	1	14	10:51:25	102	<p>I am like a dog with 2 dicks now :D </p><p>Was devastated at the loss of TCF, and I hope it comes back too, the sense of community on there could not be matched elsewhere. I also had some transactions outstanding on there (money is escrow) and I had paid for some numbers which were in my PM inbox so I cannot access/use them - is there anything we can do about these, or will TCF be back up soon &amp; info be there?</p><p>Good to see you all again</p></div></div></div></div>	<p><ins><strong>APPLE &amp; SAMSUNG Products Carded to Order [UK] 50% of RRP - Macbooks, iPhones, iPads:</strong> http://k5zq47j6wd3wdvjq.onion/store/560</ins><br />&#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; <strong> Please Encrypt Any Messages to Me via SMS4TOR </strong> sms4tor3vcr2geip.onion/</p>					
4	181	52	2014	1	14	10:57:30	104	<p>Thank you so much Verto, REALLY! Please bring TCF back, I really missed it!</p></div></div></div></div>						
4	183	53	2014	1	14	11:01:13	101	<p>Just want to thank u guys for all the hard work u do! Hope pizzaguy will find this forum soon..</p></div></div></div></div>						
4	184	54	2014	1	14	11:03:25	105	<p>Congrats :)</p>	<p>CARPE DIEM!</p>					
4	187	55	2014	1	14	11:11:22	76	"<div class=""quotebox""><cite>GetRichFast wrote:</cite><blockquote><div><p>YEAAHH&#160; nice to see you all again<br />D33poutside!!!!!!!!!!!<br />alien is back!!!&#160; love it!</p></div></blockquote></div><p>Hahaha, great avatar! kimlookingatthings!</p></div></div></div></div>"						
4	190	56	2014	1	14	11:14:31	94	"<div class=""quotebox""><cite>RandyMarsh wrote:</cite><blockquote><div><p>Just want to thank u guys for all the hard work u do! Hope pizzaguy will find this forum soon..</p></div></blockquote></div><p>profile.php?id=7...hope that&#039;s the same one as on tcf</p></div></div></div></div>"						
4	196	57	2014	1	14	11:43:05	110	<p>Awesome job guys! Hope this market will be flooded by good deals soon :D</p>	<p><strong>| email: makikaki@safe-mail.net | torchat: axxd4tbynnrav5pa | jabber+otr: makikaki@jabbim.sk | icq+otr: 694263093 |</strong><br />BANK OF AMERICA DROP STEALTH ACCOUNT: http://k5zq47j6wd3wdvjq.onion/listing/94502<br />PAYPAL CASHOUT: http://k5zq47j6wd3wdvjq.onion/listing/3484</p>					
4	198	58	2014	1	14	11:48:50	98	"<div class=""quotebox""><cite>torrican wrote:</cite><blockquote><div><div class=""quotebox""><cite>GetRichFast wrote:</cite><blockquote><div><p>YEAAHH&#160; nice to see you all again<br />D33poutside!!!!!!!!!!!<br />alien is back!!!&#160; love it!</p></div></blockquote></div><p>Hahaha, great avatar! kimlookingatthings!</p></div></blockquote></div><br /><p>thnx :D</p>"	<p>i got 5 on it</p>					
4	204	59	2014	1	14	12:35:18	118	<p>mhmmm yeah this is nice but I want TCF back, this white making my eyes hurt.</p></div></div></div></div>						
4	205	60	2014	1	14	12:38:12	121	<p>Thanks a lot guys, great to be back!</p></div></div></div></div>						
4	207	61	2014	1	14	12:54:40	125	<p>Can&#039;t tell you how happy I am to have this back in my life.</p><p>Good to see you all again! </p><p>Happy carding people :)</p>	<p>PGP - http://pastebin.com/jwpJu7dD</p>					
4	212	62	2014	1	14	13:04:42	126	<p>Welcome back everyone so happy to see this community back online. thanks Verto for making this possible. :) :)</p>	<p>My Public PGP Key<br />http://pastie.org/8637761</p>	126	2014	1	14	13:05:03
4	219	63	2014	1	14	13:29:43	129	<p>Good to see Verto and Company back.&#160; Was getting very disheartened seeing what hackBB had turned into and no other forums around of consequence.</p><p>Lot of work to do here, but we have a home again.</p><p>Thanks!!</p></div></div></div></div>						
4	221	64	2014	1	14	13:32:56	125	<p>@verto - Are you guys needing or accepting donations to get TCF up and running again? Will be happy to contribute if so!</p>	<p>PGP - http://pastebin.com/jwpJu7dD</p>					
4	223	65	2014	1	14	13:40:07	102	<p>Same here - if there is a way to get TCF back up then I am all for it. </p><p>Need the good info, tuts etc now we have a better way of getting the cvv&#039;s etc</p></div></div></div></div>	<p><ins><strong>APPLE &amp; SAMSUNG Products Carded to Order [UK] 50% of RRP - Macbooks, iPhones, iPads:</strong> http://k5zq47j6wd3wdvjq.onion/store/560</ins><br />&#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; <strong> Please Encrypt Any Messages to Me via SMS4TOR </strong> sms4tor3vcr2geip.onion/</p>					
4	240	66	2014	1	14	14:09:58	141	<p>Hello everyone!</p><p>p.s. Great job Verto! Thanks to you and to everyone else who helped you!</p></div></div></div></div>						
4	247	67	2014	1	14	14:16:38	143	<p>glad to see y&#039;all again :)</p></div></div></div></div>						
4	260	68	2014	1	14	14:57:47	153	<p>Glad to be back. Going to get all my previous products and services up on the market place! <br />Thanks</p>	"<p><ins><strong><em>CyberCrime UK: Virtual Carding + DROPS BONUS:</em></strong></ins> <strong><span class=""bbu"">http://k5zq47j6wd3wdvjq.onion/listing/30388</span></strong> <br />&#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; <strong>EQUIFAX UK Credit Reports Service: http://k5zq47j6wd3wdvjq.onion/listing/70000</strong></p><p>&#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; <strong><span class=""bbu"">UK retail, phone shop, bank, HR and credit bureau insiders REQUIRED URGENTLY</span></strong></p>"					
